ItemName1 萨以特
ItemName2 妮可
ItemName3 薇达
ItemName4 麦尔斯
ItemName5 莉莲
ItemName6 姆斯比尔
ItemHelp6 传说在北欧一种住在火焰之地的巨人，周身包围着火焰，非常暴躁，也从不跟人类说话，想烧尽一切眼前的事物。
ItemName7 康那里士
ItemHelp7 梅罗文加护教骑士的指导教士。
ItemName8 卡玛
ItemName9 肯迪
ItemName10 慧彦
ItemHelp10 中国少林寺僧人，中国武术高超。外型瘦小平凡，穿着破烂唐装与披风，微留白发，笑容可拘。
ItemName11 安卡
ItemName12 恐惧之王
ItemHelp12 撒旦的手下之一，外形是人骨贴附一些烂肉。化身成人形就是康那里士教士。因为害怕死亡的缘故，他早已对自己施展僵尸之法，让自己的尸首残骸仍然能活动。
ItemName13 蓝魔神
ItemHelp13 蓝人的领导者，是一女性外观的蓝人，是所有蓝人﹝男性外观﹞的首领，她住在海中冰山，受撒旦指使去移动岛寻找主角。
ItemName14 黄雷
ItemName15 远恩
ItemName16 蜃楼王
ItemHelp16 在沙漠出现的幻象之王，外形变化多端。会把一般的旅人拉入魔天（幻象的世界）。
ItemName17 李靖
ItemName18 鬼猴
ItemHelp18 相当残忍阴险的妖怪，以看人受苦为乐，撒旦把他封在石像中以操纵他们。
ItemName19 天使石像
ItemName20 人面狮身
ItemName21 雅典娜石像
ItemName22 波希顿石像
ItemName23 高仙芝
ItemName24 段秀实
ItemName25 麦尔丹
ItemName26 李嗣业
ItemName27 轩辕剑仙
ItemHelp27 是中国传说时代时，诸天善神帮助轩辕皇帝所锻造出来的神剑，其使命是维持中国道统与智慧，有深不可测之力。到了唐朝，吸收的天地精华，足够让他化身成仙。
ItemName28 撒旦
ItemHelp28 地狱界其中之一的集团首领，自古以来就叛逆天上界，到处在地上界暗中扰乱人类的安宁，酷爱战争与流血。平常不轻易现身，绝大部分都是暗中指挥，这是避免被执法神逮住。
ItemName29 萨西
ItemName30 波尔
ItemName31 白连仪
ItemName32 雨丹子
ItemHelp32 据说他不用传统炼丹来锻炼长生不老，而用各种毒物、毒虫来炼，把自己的肉身炼成了半妖状态，内脏全是毒虫，流黑血，脸色泛青，红瞳孔，周身随时围绕苍蝇。
ItemInfo32 被主角用炼妖壶封住的半人半妖。
ItemName33 张客
ItemName34 慧荣
ItemName35 轩辕剑僮
