; 角色名字表
NAME1 萨以特
NAME2 妮可
NAME3 薇达
NAME4 麦尔斯
NAME5 莉莲
NAME6 姆斯比尔
NAME7 康那里士
NAME8 卡玛
NAME9 肯迪
NAME10 慧彦
NAME11 安卡
NAME12 恐惧之王
NAME13 蓝魔神
NAME14 黄雷
NAME15 远恩
NAME16 蜃楼王
NAME17 李靖
NAME18 鬼猴
NAME19 米加勒
NAME20 史芬克斯
NAME21 雅典娜
NAME22 波西顿
NAME23 高仙芝
NAME24 段秀实
NAME25 麦尔丹
NAME26 李嗣业
NAME27 轩辕剑仙
NAME28 撒旦
NAME29 萨西
NAME30 波尔
NAME31 白连仪
NAME32 雨丹子
NAME33 张客
NAME34 慧荣
NAME35 轩辕剑僮
NAME36 林明
NAME37 镇邪
NAME38 王思月
NAME39 悟缘
NAME40 唐玄宗
NAME41 安禄山
NAME42 杨贵妃
NAME43 杨国忠
NAME44 高力士
NAME45 蚩尤
NAME46 机关怪物1
NAME47 机关怪物2
NAME48 机关怪物3
NAME49 机关怪物4
NAME50 机关怪物5
NAME51 雨丹子五鬼
NAME52 人尸曼陀罗阵
NAME53 撒旦曼陀罗阵
NAME54 菲力斯
NAME55 丕平三世
NAME56 加洛曼二世
NAME71x1 灵界指标０
NAME71x2 灵界指标１
NAME71x3 灵界指标２
NAME71x4 灵界指标３
NAME71x5 灵界指标４
NAME71x6 灵界指标５
NAME71x7 灵界指标６
NAME71x8 灵界指标７
NAME71x9 灵界指标８
NAME71x10 灵界指标９
NAME57 小玛莉
NAME58 香料商人马丁
NAME59 莎莉奶奶
NAME60 异教徒米雅
NAME61 教士艾利
NAME62 佩儿
NAME63 芬妮
NAME64 镇民比德
NAME65 小男孩
NAME66 小狗
NAME67 小路克
NAME68 露丝
NAME69 蒙妮卡
NAME70 猫怪
NAME71 少女凯丽
NAME72 凯丽的母亲
NAME73 丽贝卡
NAME74 不理人小男孩
NAME75 维克老师傅
NAME76 艾蜜莉亚
NAME77 贸易商维德
NAME78 珠宝商布尔诺
NAME79 天使石像
NAME80 鱼
NAME81 采珍珠的派恩
NAME82 尤金
NAME83 护教骑士团士兵
NAME84 吟游诗人希姆
NAME85 法兰西丝卡
NAME86 安东妮亚
NAME87 小约翰
NAME88 翡翠商杰洛姆
NAME89 仙蒂
NAME90 修果领主大人
NAME91 小猫
NAME92 士兵
NAME93 米雅
NAME94 魔界商人石狮子
NAME95 波斯人阿丹
NAME96 阿丹
NAME97 阿拉伯人哈伦
NAME98 哈伦
NAME99 海盗莫雷
NAME100 莫雷
NAME101 狗老大
NAME102 狗老二
NAME103 狗老三
NAME104 陶德
NAME105 教士
NAME106 妇人
NAME107 商店老板
NAME108 武器店老板
NAME109 酒店老板
NAME110 酒店老板娘
NAME111 宝拉
NAME112 祈祷中的老板娘
NAME113 墓园密道入口
NAME114 旅馆老板
NAME115 外地教士
NAME116 酒客
NAME117 安琪儿
NAME118 修道院院长
NAME119 少女蕾娜妲
NAME120 卫兵
NAME121 囚犯
NAME122 老人
NAME123 薇薇安
NAME124 米罗
NAME125 梅伊婶婶
NAME126 商人哈洛德
NAME127 威尔先生
NAME128 蓓姬
NAME129 潘朵拉
NAME130 凡妮莎
NAME131 木赫西娜
NAME132 贝丝
NAME133 洁西卡
NAME134 旅行者亨利
NAME135 老人贾西
NAME136 酒客亚兰
NAME137 酒客罗伊
NAME138 骑士团队长
NAME139 守门士兵塔罗
NAME140 守门士兵叶珊
NAME141 怪物
NAME142 商人
NAME143 大食士兵
NAME144 哈里发
NAME145 苏里曼
NAME146 黑衣大食哈里发
NAME147 道士
NAME148 护民官的母亲
NAME149 老修士强尼
NAME150 戴安娜
NAME151 妖魔
NAME152 约瑟修士
NAME153 中国商人
NAME154 波斯商人西鲁士
NAME155 乔安娜
NAME156 name
NAME157 悟性
NAME158 悟心
NAME159 獢
NAME160 莘蒂雅
NAME161 老板希沙姆
NAME162 武器商噗噗
NAME163 防具商阿杰
NAME164 杂货商福啯
NAME165 魔界商马灵
NAME166 魔界商瓦鲁
NAME167 魔界商迪可
NAME168 守卫
NAME169 士兵们
NAME170 艾许
NAME171 威尼斯护民官
NAME172 威尼斯水军
NAME173 阿拉伯海军
NAME174 蓝人
NAME175 女船长
NAME176 旅店石精怪
NAME177 杂货老板
NAME178 武器商人
NAME179 防具商人
NAME180 医药商
NAME181 阿高斯
NAME182 瓶女
NAME183 宝箱
NAME184 皇宫卫兵
NAME185 巡城卫兵
NAME186 阿拔斯军队
NAME187 美娜
NAME188 莎米拉
NAME189 蒂娜
NAME190 安萨里拉齐
NAME191 提布克
NAME192 马斯欧迪
NAME193 古桑伊
NAME194 塔巴里
NAME195 迈赫底
NAME196 瓦西格
NAME197 战士奥斯曼
NAME198 侯奈因
NAME199 马休
NAME200 穆台瓦基里
NAME201 吉恩
NAME202 酒店老板娘
NAME203 列拉
NAME204 莫巴雅
NAME205 商人罗伯特
NAME206 商人贝克
NAME207 苏珊
NAME208 叶塔
NAME209 旅行商人迪克
NAME210 武器店主
NAME211 阿里
NAME212 欧札
NAME213 洛克仙妮
NAME214 艾敏
NAME215 旅店老板
NAME216 穆南比二世
NAME217 地狱商人
NAME218 老板娘陈瑞莲
NAME219 侍女艾达
NAME220 侍女莎琳娜
NAME221 侍女玛娜
NAME222 拉西德
NAME223 伯克尔
NAME224 萨比特
NAME225 黑血狗黄八
NAME226 王夫人
NAME227 王老爷
NAME228 黑坛教道士
NAME229 王府卫兵
NAME230 金吾卫士兵
NAME231 监门卫士兵
NAME232 白家仆人
NAME233 官员
NAME234 辜露
NAME235 祖旺
NAME236 慕依美
NAME237 柏丝苔妮
NAME238 营帐工欧里
NAME239 诗人卡斯兰
NAME240 士兵路锡
NAME241 士兵蒙大
NAME242 小孩迪威
NAME243 小孩西克
NAME244 女奴阿依达
NAME245 士兵艾革利
NAME246 强
NAME247 奇各
NAME248 萨满巴
NAME249 拉斯冯
NAME250 士兵阿福
NAME251 士兵阿财
NAME252 士兵阿达
NAME253 士官长
NAME254 安东尼欧
NAME255 里奥
NAME256 乔斯
NAME257 丰兜角
NAME258 瓦地耳
NAME259 安撒里拉齐
NAME260 风伯
NAME261 雨师
NAME262 NAEM
NAME263 嫦娥
NAME264 牧童干吉
NAME265 牧羊人干吉
NAME266 店东呼儿台
NAME267 丝兰妲
NAME268 罗秘瓯
NAME269 茱丽晔
NAME270 干巴伦
NAME271 阿鲁巴
NAME272 宇文天
NAME273 水晶晶
